current_path	artifact_kind	owner_domain	proposed_target	disposition	stability
scripts/archive-closed-backlog.sh	executable	ops-backlog	ops/backlog/archive-closed-backlog.sh	move-then-remove	internal
scripts/brief-validate.sh	executable	shared-runtime	runtime/bin/brief-validate.sh	move-with-shim	maintainer
scripts/check-docs-freshness.sh	executable	tooling-lint	tools/lint/check-docs-freshness.sh	move-then-remove	internal
scripts/codex-watch.sh	executable	ops-diagnostics	ops/diagnostics/codex-watch.sh	move-then-remove	internal
scripts/dispatch-post-verify.sh	executable	shared-runtime	runtime/bin/dispatch-post-verify.sh	move-then-remove	internal
scripts/dispatch-supervisor.sh	executable	shared-runtime	runtime/bin/dispatch-supervisor.sh	move-then-remove	internal
scripts/doctor.sh	executable	shared-runtime	runtime/bin/doctor.sh	move-with-shim	installed
scripts/fixtures/skill-refine/feedback_alpha.md	fixture	test-harness	tests/fixtures/skill-refine/feedback_alpha.md	move-then-remove	internal
scripts/fixtures/skill-refine/feedback_beta.md	fixture	test-harness	tests/fixtures/skill-refine/feedback_beta.md	move-then-remove	internal
scripts/fixtures/skill-refine/feedback_gamma.md	fixture	test-harness	tests/fixtures/skill-refine/feedback_gamma.md	move-then-remove	internal
scripts/gate-supervisor.sh	executable	shared-runtime	runtime/bin/gate-supervisor.sh	move-then-remove	internal
scripts/guard-executor-write.sh	executable	shared-runtime	runtime/hooks/guard-executor-write.sh	move-then-remove	internal
scripts/guard-inject-memory.sh	executable	shared-runtime	runtime/hooks/guard-inject-memory.sh	move-then-remove	internal
scripts/guard-log-claude-usage.sh	executable	host-claude	hosts/claude/hooks/log-usage.sh	move-with-shim	compatibility
scripts/guard-pm-bash.sh	executable	shared-runtime	runtime/hooks/guard-pm-bash.sh	move-then-remove	internal
scripts/guard-pm-write.sh	executable	shared-runtime	runtime/hooks/guard-pm-write.sh	move-then-remove	internal
scripts/guard-reviewer-write.sh	executable	shared-runtime	runtime/hooks/guard-reviewer-write.sh	move-then-remove	internal
scripts/guard-save-rate-limits.sh	executable	host-claude	hosts/claude/hooks/save-rate-limits.sh	move-with-shim	compatibility
scripts/hook-codex-command-guard.sh	executable	host-codex	hosts/codex/hooks/command-guard.sh	move-with-shim	compatibility
scripts/install-guards-codex.sh	executable	host-codex	hosts/codex/bin/install.sh	move-with-shim	compatibility
scripts/install-guards.sh	executable	host-claude	hosts/claude/bin/install-guards.sh	move-with-shim	compatibility
scripts/install-host-opencode.sh	executable	host-opencode	hosts/opencode/bin/install.sh	move-with-shim	compatibility
scripts/lib/allowlist.sh	sourced-lib	shared-runtime	runtime/lib/allowlist.sh	move-then-remove	internal
scripts/lib/artifact-paths.sh	sourced-lib	shared-runtime	runtime/lib/artifact-paths.sh	move-then-remove	internal
scripts/lib/detached-launch.sh	sourced-lib	shared-runtime	runtime/lib/detached-launch.sh	move-then-remove	internal
scripts/lib/dispatch-common.sh	sourced-lib	shared-runtime	runtime/lib/dispatch-common.sh	move-then-remove	internal
scripts/lib/dispatch-record.sh	sourced-lib	shared-runtime	runtime/lib/dispatch-record.sh	move-then-remove	internal
scripts/lib/executor-router.sh	sourced-lib	shared-runtime	runtime/lib/executor-router.sh	move-then-remove	internal
scripts/lib/gate-result-verify.sh	sourced-lib	shared-runtime	runtime/lib/gate-result-verify.sh	move-then-remove	internal
scripts/lib/gate-workspace.sh	sourced-lib	shared-runtime	runtime/lib/gate-workspace.sh	move-then-remove	internal
scripts/lib/guard-framework.sh	sourced-lib	shared-runtime	runtime/lib/guard-framework.sh	move-then-remove	internal
scripts/lib/handover-validate.sh	sourced-lib	shared-runtime	runtime/lib/handover-validate.sh	move-then-remove	internal
scripts/lib/host-manifest.sh	sourced-lib	shared-runtime	runtime/lib/host-manifest.sh	move-then-remove	internal
scripts/lib/host-names.sh	sourced-lib	shared-runtime	runtime/lib/host-names.sh	move-then-remove	internal
scripts/lib/host-write.sh	sourced-lib	shared-runtime	runtime/lib/host-write.sh	move-then-remove	internal
scripts/lib/memory-dir.sh	sourced-lib	shared-runtime	runtime/lib/memory-dir.sh	move-then-remove	internal
scripts/lib/memory.sh	sourced-lib	shared-runtime	runtime/lib/memory.sh	move-then-remove	internal
scripts/lib/model-aliases.sh	sourced-lib	shared-runtime	runtime/lib/model-aliases.sh	move-then-remove	internal
scripts/lib/pmctl-adapter.sh	sourced-lib	shared-runtime	runtime/lib/pmctl-adapter.sh	move-then-remove	internal
scripts/lib/pmctl-artifacts.sh	sourced-lib	shared-runtime	runtime/lib/pmctl-artifacts.sh	move-then-remove	internal
