name_or_pattern	owner_domain	input_class	default_source	precedence	propagation	risk_or_side_effect	test_isolation	fixture_scrub
REPO_ROOT	shared-runtime	internal-derived	explicit module ABI target	argv then validated discovery	pass explicitly to child modules	wrong relative depth redirects every repo-local read and write	relocated checkout fixture with spaces	no
SCRIPT_DIR	module-local	internal-derived	BASH_SOURCE directory	module location only	do not export	changes whenever a file moves	no fixed directory-depth assumptions	no
DRY_RUN	module-local	argv-derived	false	CLI flag	pass as explicit argv	must suppress every filesystem mutation	filesystem diff before and after	no
HOME	bootstrap	ambient-public	process environment	ambient fallback only	inherit only when child contract declares it	controls host homes pmctl bin state and user files	replace entire HOME for mutating tests	no
PATH	bootstrap	ambient-public	process environment	ambient	inherit through executable boundary	selects jq git pmctl adapters and hostile stubs	minimal explicit PATH fixture	no
PWD	bootstrap	ambient-public	process cwd	argv cwd wins where supported	do not treat as repo identity	can select the wrong caller repository	run from repo subdir external dir and symlink	no
TMPDIR	shared-runtime	ambient-public	/tmp	ambient	inherit	controls temporary artifact location	fixture-local TMPDIR with cleanup assertion	no
OSTYPE	portability	ambient-public	shell supplied	ambient	inherit	selects platform-specific behavior	linux macOS and Windows spelling fixtures	no
MSYS2_ARG_CONV_EXCL	portability	child-control	unset	module-local assignment	pass only to jq child	Windows argument rewriting	assert parent environment unchanged	no
MSYS_NO_PATHCONV	portability	child-control	unset	module-local assignment	pass only to jq child	Windows path conversion	assert parent environment unchanged	no
XDG_CACHE_HOME	bootstrap	ambient-public	$HOME/.cache	--cache-dir then PM_DISPATCH_TOOL_CACHE then explicit env then HOME fallback	consume inside maintainer tool bootstrap	selects maintainer tool cache root	fixture-local cache root	no
XDG_CONFIG_HOME	host-opencode	host-root	$HOME/.config	explicit env then host default	pass only to OpenCode host modules	selects OpenCode config commands tools and receipts	isolated HOME plus explicit XDG root	no
XDG_DATA_HOME	shared-runtime	ambient-public	$HOME/.local/share	explicit env then platform default	pass to state resolver	selects canonical runtime state root	fixture-local XDG data root	no
XDG_RUNTIME_DIR	shared-runtime	ambient-public	platform fallback	explicit valid directory then fallback	pass to detached launcher	selects sentinel and detached runtime location	fixture-local existing and missing variants	no
CLAUDE_CONFIG_DIR	host-claude	host-root	$HOME/.claude	explicit canonical then legacy alias then default	pass only to Claude host modules	selects settings hooks install manifest commands agents and skills	isolated HOME plus explicit canonical root	no
CLAUDE_HOME	host-claude	legacy-alias	none	must equal CLAUDE_CONFIG_DIR when both explicit	normalize inside Claude resolver only	conflict must fail before mutation	unset legacy-only canonical-only conflict matrix	no
CODEX_HOME	host-codex	host-root	$HOME/.codex	explicit env then host default	pass only to Codex host modules	selects hooks config and managed AGENTS instructions	isolated HOME plus explicit Codex root	no
GROK_HOME	host-grok	host-root	$HOME/.grok	explicit env then host default	pass only to Grok host modules and doctor auth probe	selects Grok config auth and managed host paths	isolated HOME plus explicit Grok root	no
PMCTL_BIN_DIR	ops-setup	public-override	$HOME/.local/bin	explicit env then HOME fallback	pass to install and uninstall only	creates or removes the real pmctl symlink	always isolate HOME or set explicit fixture bin dir	no
PM_DISPATCH_REPO	shared-runtime	compatibility-input	validated checkout root	explicit caller then module ABI	do not export globally	legacy hook installer repo selection	wrong and hostile checkout fixtures	no
PM_DISPATCH_REPOS_ROOT	shared-runtime	public-override	parent of PM_DISPATCH_REPO	explicit env then checkout parent	consume in cross-repo discovery only	selects repositories scanned by cross-repo operations	nonstandard layout fixture with isolated sibling repos	no
PM_DISPATCH_CONFIG_FILE	shared-runtime	public-override	$HOME/.pm-dispatch/config	explicit env then HOME fallback	pass to canonical config readers only	can redirect every config and memory resolution	always set missing or fixture path in tests	no
PM_MEMORY_DIR	shared-memory	public-override	none	explicit env then project config then legacy discovery	pass only to canonical memory commands	canonical memory read and write target	fixture directory plus invalid and symlink cases	no
PM_CFG_*	shared-runtime	resolved-config	none	CLI flag then project config then built-in default	export narrowly from pmctl to invoked runtime	must not become a host-owned default	config precedence matrix with clean environment	no
PM_CFG_DEFAULT_MODEL	shared-runtime	resolved-config	adapter default alias	CLI model then config then adapter alias	pass to adapter process	selects dispatched model	per-adapter alias fixtures	no
PM_CFG_TIMEOUT	shared-runtime	resolved-config	adapter built-in	CLI timeout then adapter env then config then built-in	pass to adapter process	bounds executor runtime	precedence matrix	no
PM_CFG_USAGE_LOG_PATH	shared-runtime	resolved-config	repo-owned snapshot logger	explicit config then snapshot fallback	pass to adapters only	writes usage accounting data	fixture log path and unwritable path	no
CLAUDE_DISPATCH_TIMEOUT	adapter-claude	public-override	1200	CLI flag then adapter env then PM_CFG_TIMEOUT then built-in	consume inside Claude adapter only	bounds Claude executor runtime	precedence and invalid-value fixtures	no
CODEX_DISPATCH_TIMEOUT	adapter-codex	public-override	1200	CLI flag then adapter env then PM_CFG_TIMEOUT then built-in	consume inside Codex adapter only	bounds Codex executor runtime	precedence and invalid-value fixtures	no
OPENCODE_DISPATCH_TIMEOUT	adapter-opencode	public-override	1200	CLI flag then adapter env then PM_CFG_TIMEOUT then built-in	consume inside OpenCode adapter only	bounds OpenCode executor attempts	fallback-chain budget fixtures	no
GROK_DISPATCH_TIMEOUT	adapter-grok	public-override	1200	CLI flag then adapter env then PM_CFG_TIMEOUT then built-in	consume inside Grok adapter only	bounds Grok executor runtime	precedence and invalid-value fixtures	no
PM_DISPATCH_TRACE_DIR	shared-runtime	public-override	worktree .agent-trace	CLI flag then env then legacy fallback	pass to adapter and verifier	trace and post-verification write target	fixture absolute path and traversal rejection	no
PM_DISPATCH_STATE_ROOT	shared-runtime	public-override	XDG data or HOME fallback	explicit env then platform fallback	pass to state writers and readers	canonical run event and artifact state	fixture-local root for every stateful test	no
PM_DISPATCH_TOOL_CACHE	bootstrap	public-override	XDG cache or HOME cache	--cache-dir then explicit env then XDG_CACHE_HOME then HOME fallback	consume inside ShellCheck bootstrap only	selects maintainer tool cache and write target	fixture-local cache root	no
PM_DISPATCH_ALLOW_UNSAFE_STATE_ROOT	shared-runtime	emergency-override	disabled	explicit opt-in only	consume inside state writer	can weaken state-root containment	disabled by default and isolated unsafe fixture	no
PM_DISPATCH_ROTATE_MAX_BYTES	shared-runtime	public-override	52428800	explicit env then built-in	consume inside state writer	changes state rotation threshold	tiny fixture threshold	no
PM_DISPATCH_LOCK_TIMEOUT_SECS	shared-runtime	public-override	implementation default	explicit env then built-in	consume inside locking helper	bounds lock acquisition	short deterministic timeout fixture	no
